2018-01-04 13:52:55,185 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:52:55,187 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:52:55,187 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:53:10,601 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:53:10,602 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:53:10,603 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:53:10,603 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 13:54:43,532 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:54:43,533 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 13:54:43,533 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 13:54:43,534 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 14:03:04,071 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:03:04,077 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 14:03:04,079 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:03:04,080 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 14:06:53,424 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:06:53,425 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 14:06:53,426 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:06:53,427 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 14:08:22,619 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:08:22,619 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 14:08:22,621 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:08:22,621 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 14:39:49,739 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:39:49,740 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-01-04 14:39:49,741 [Worker-65] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 14:39:49,742 [Worker-65] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/eliel/Área de Trabalho/Henrique - Learning - Work 2017/Projetos/lava-car/lavacar/src/test/resources
2018-01-04 15:08:00,147 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
